ID	ID_rekl	LiczbaFiksacji	CzasFiksacji	CzasNaAOI	PLEC	WIEK4	pismo	tematyka	rodzaj	wielkosc	branza	ADReach	ADExp	ADExpTime	Zauważalność		
ID014700053	1219	4	655,25	2621	1	3	angora	społeczne	normal	Full Page	Turystyka i sport	6,5	8,3	5,4	100		
ID014700053	1211	2	952	1904	1	3	angora	społeczne	normal	Mniejszy format	Budownictwo	6,5	3,198	3,042	66,66666667		
ID014700053	1212	8	1204,722558	9637,780466	1	3	angora	społeczne	normal	Mniejszy format	Zdrowie	6,5	12,87	15,522	33,33333333		
ID014700054	1216	4	579,75	2319	1	4	angora	społeczne	normal	Full Page	Auto-moto	6,5	1,638	0,546	100		
ID014700054	1219	18	534,7777778	9626	1	4	angora	społeczne	normal	Full Page	Turystyka i sport	6,5	3,198	3,354	100		
ID014700054	1208	1	344	344	1	4	angora	społeczne	edytorial	Full Page	Zdrowie	6,5	3,198	1,17	100		
ID014700077	1216	1	410	410	2	3	angora	społeczne	normal	Full Page	Auto-moto	6,5	9,672	7,41	100		
ID014700078	1216	2	638	1276	2	2	angora	społeczne	normal	Full Page	Auto-moto	6,5	8,500284	5,321316	100		
ID014700078	1206	1	344	344	2	2	angora	społeczne	normal	Mniejszy format	Zdrowie	6,5	18,451836	13,13052	25		
ID014700079	1216	4	456,25	1825	2	3	angora	społeczne	normal	Full Page	Auto-moto	6,5	1,176494592	1,10296368	100		
ID014700079	1219	13	585,9230769	7617	2	3	angora	społeczne	normal	Full Page	Turystyka i sport	6,5	1,250025504	1,911803712	100		
ID014700079	1208	29	774,6745149	22465,56093	2	3	angora	społeczne	edytorial	Full Page	Zdrowie	6,5	1,250025504	0,514716384	100		
ID014700079	1217	2	1050,5	2101	2	3	angora	społeczne	normal	Mniejszy format	Zdrowie	6,5	1,397087328	1,176494592	100		
ID014700080	1216	3	433,3333333	1300	1	2	angora	społeczne	normal	Full Page	Auto-moto	6,5	1,47061824	1,323556416	100		
ID014700080	1219	8	492,875	3943	1	2	angora	społeczne	normal	Full Page	Turystyka i sport	6,5	1,47061824	0,514716384	100		
ID014700080	1217	2	355,5	711	1	2	angora	społeczne	normal	Mniejszy format	Zdrowie	6,5	3,750076512	1,47061824	100		
ID014700056	1217	6	768,4451165	4610,670699	1	1	angora	społeczne	normal	Mniejszy format	Zdrowie	6,5	15,00030605	8,235462144	100		
ID012700004	96	2	472	944	1	1	autosw	męskie	normal	1/2 Page	Auto-moto	0,8	4,41185472	4,264792896	100		
ID012700011	107	1	333	333	1	1	autosw	męskie	normal	Full Page	Auto-moto	0,8	5,220694752	2,867705568	100		
ID012700011	1163	1	344	344	1	1	autosw	męskie	normal	Mniejszy format	Auto-moto	0,8	8,45605488	5,14716384	50		
ID012700011	110	1	1243	1243	1	1	autosw	męskie	normal	Mniejszy format	Auto-moto	0,8	5,88247296	3,529483776	100		
ID012700014	107	5	623,8	3119	1	2	autosw	męskie	normal	Full Page	Auto-moto	0,8	7,279560288	3,088298304	100		
ID012700014	96	1	323	323	1	2	autosw	męskie	normal	1/2 Page	Auto-moto	0,8	11,98553866	6,838374816	100		
ID012700014	110	1	799	799	1	2	autosw	męskie	normal	Mniejszy format	Auto-moto	0,8	11,98553866	7,647214848	100		
ID012700015	107	2	366,5	733	1	2	autosw	męskie	normal	Full Page	Auto-moto	0,8	12,79437869	6,98543664	100		
ID012700015	96	6	627,463411	3764,780466	1	2	autosw	męskie	normal	1/2 Page	Auto-moto	0,8	14,19146602	6,691312992	100		
ID012700015	116	3	534	1602	1	2	autosw	męskie	normal	Full Page	Auto-moto	0,8	16,91210976	9,485487648	100		
ID012700006	96	13	708,5984974	9211,780466	1	3	autosw	męskie	normal	1/2 Page	Auto-moto	0,8	18,16213526	10,95610589	100		
ID012700012	96	3	421,6666667	1265	1	1	autosw	męskie	normal	1/2 Page	Auto-moto	0,8	21,61808813	10,4413895	100		
ID012700012	110	5	766	3830	1	1	autosw	męskie	normal	Mniejszy format	Auto-moto	0,8	23,52989184	14,85324422	100		
ID012700012	116	13	663,8461538	8630	1	1	autosw	męskie	normal	Full Page	Auto-moto	0,8	28,89764842	20,07393898	100		
ID012700016	96	3	528,6666667	1586	1	1	autosw	męskie	normal	1/2 Page	Auto-moto	0,8	33,6771577	22,42692816	100		
ID012700016	110	1	333	333	1	1	autosw	męskie	normal	Mniejszy format	Auto-moto	0,8	4,41185472	2,20592736	100		
ID012700016	116	4	675,9176748	2703,670699	1	1	autosw	męskie	normal	Full Page	Auto-moto	0,8	3,30889104	1,397087328	100		
ID012700003	213	1	634	634	2	2	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	3,30889104	1,691210976	100		
ID012700003	257	1	489	489	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	7,72074576	4,41185472	100		
ID012700003	278	1	761	761	2	2	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	15,44149152	10,58845133	100		
ID012700003	295	1	356	356	2	2	glamou	magazyny luksusowe	normal	Full Page	Kultura i rozrywka	0,4	8,82370944	5,000102016	100		
ID012700003	272	1	300	300	2	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	3,80094	2,76432	100		
ID012700005	264	1	946	946	2	4	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	4,077372	1,451268	100		
ID012700005	219	1	1156	1156	2	4	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	2,76432	1,520376	100		
ID012700005	278	1	1321	1321	2	4	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	27,366768	24,256908	100		
ID012700005	211	1	321	321	2	4	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	4,077372	1,589484	100		
ID012700005	232	1	1139,670699	1139,670699	2	4	glamou	magazyny luksusowe	edytorial	Full Page	Kosmetyki	0,4	13,47606	8,154744	100		
ID012700010	213	1	866	866	2	1	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	1,658592	1,243944	100		
ID012700010	264	1	701	701	2	1	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	28,33428	20,179536	100		
ID012700010	226	1	1139,670699	1139,670699	2	1	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	5,87418	3,593616	100		
ID012700010	233	1	1911	1911	2	1	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	2,971644	2,142348	100		
ID012700010	295	1	755	755	2	1	glamou	magazyny luksusowe	normal	Full Page	Kultura i rozrywka	0,4	3,731832	1,243944	100		
ID012700010	272	1	566	566	2	1	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	7,809204	5,321316	100		
ID012700010	251	1	388	388	2	1	glamou	magazyny luksusowe	normal	1/2 Page	Kultura i rozrywka	0,4	4,699344	2,004132	100		
ID012700010	230	1	355	355	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	1,38216	0,829296	100		
ID012700010	265	1	456	456	2	1	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,38216	0,552864	100		
ID012700010	284	1	356	356	2	1	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	1,38216	0,483756	100		
ID012700010	281	1	1519,560932	1519,560932	2	1	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,38216	0,69108	100		
ID012700010	227	1	1519,560932	1519,560932	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	1,38216	1,243944	100		
ID012700010	280	1	668	668	2	1	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	1,38216	1,935024	100		
ID012700010	222	1	334	334	2	1	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	1,38216	0,69108	100		
ID012700010	212	1	354	354	2	1	glamou	magazyny luksusowe	normal	Full Page	Obuwie i odzież	0,4	1,38216	0,898404	100		
ID012700017	264	1	589	589	2	3	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	1,38216	0,552864	100		
ID012700019	252	1	344	344	1	2	glamou	magazyny luksusowe	normal	Double Page	Obuwie i odzież	0,4	1,451268	0,621972	100		
ID012700019	289	1	343	343	1	2	glamou	magazyny luksusowe	normal	Full Page	Sieci handlowe	0,4	1,451268	0,552864	100		
ID012700019	229	1	1232	1232	1	2	glamou	magazyny luksusowe	normal	Full Page	Sieci handlowe	0,4	2,280564	1,38216	80		
ID012700019	256	1	766	766	1	2	glamou	magazyny luksusowe	normal	1/2 Page	Kosmetyki	0,4	2,280564	1,03662	80		
ID012700019	272	1	355	355	1	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	2,280564	1,935024	100		
ID012700019	221	1	310	310	1	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	2,280564	0,967512	100		
ID012700019	280	1	311	311	1	2	glamou	magazyny luksusowe	normal	Full Page	Kosmetyki	0,4	2,280564	0,829296	100		
